list_name,name,label::Deutsch (de),label::English (en),project_id,tools_core,tools_nicetohave,tools_core_max_score,tools_nicetohave_maxscore,tools_check_nodup,tools_n,tools_n_unique,techtop_core,techtop_nicetohave,techtop_core_max_score,techtop_nicetohave_maxscore,techtop_check_nodup,techtop_n,techtop_n_unique,util_tools,util_techtop,RefDropdownTools,RefDropdownTechniquesTopics
,,,,,,,,,,,,,,,,,,,,,lamapoll,data_pipelines
,,,,,,,,,,,,,,,,,,,,,looker_studio,data_protection
,,,,,,,,,,,,,,,,,,,,,make_com,data_quality
,,,,,,,,,,,,,,,,,,,,,ms_excel,data_security
,,,,,,,,,,,,,,,,,,,,,ms_forms,data_storytelling
,,,,,,,,,,,,,,,,,,,,,ms_power_automate,data_visualization
,,,,,,,,,,,,,,,,,,,,,ms_power_query,database_management
,,,,,,,,,,,,,,,,,,,,,ms_powerbi,deployment
,,,,,,,,,,,,,,,,,,,,,ms_sharepoint,descriptive_statistics
,,,,,,,,,,,,,,,,,,,,,nodejs,devops
,,,,,,,,,,,,,,,,,,,,,python,diversity
,,,,,,,,,,,,,,,,,,,,,quarto,education_research
,,,,,,,,,,,,,,,,,,,,,rating_technologies_tools_header,ethical_critical_ai
,,,,,,,,,,,,,,,,,,,,,react,etl
,,,,,,,,,,,,,,,,,,,,,rmarkdown,image_data_processing
,,,,,,,,,,,,,,,,,,,,,rstats,indicator_development
,,,,,,,,,,,,,,,,,,,,,shiny,inferential_statistics
,,,,,,,,,,,,,,,,,,,,,sosci_survey,kanban
,,,,,,,,,,,,,,,,,,,,,sql,kpis
,,,,,,,,,,,,,,,,,,,,,streamlit,neural_networks_and_deep_learn
,,,,,,,,,,,,,,,,,,,,,svelte,nlp
,,,,,,,,,,,,,,,,,,,,,tableau,project_management
,,,,,,,,,,,,,,,,,,,,,trello,rating_techniques_header
,,,,,,,,,,,,,,,,,,,,,vue_js,regressions_and_modelling
,,,,,,,,,,,,,,,,,,,,,,research_design
,,,,,,,,,,,,,,,,,,,,,,resilience_mental_health
,,,,,,,,,,,,,,,,,,,,,,social_media_data
,,,,,,,,,,,,,,,,,,,,,,software_development
,,,,,,,,,,,,,,,,,,,,,,software_testing
,,,,,,,,,,,,,,,,,,,,,,stakeholder_analysis
,,,,,,,,,,,,,,,,,,,,,,static_reports
,,,,,,,,,,,,,,,,,,,,,,static_websites
,,,,,,,,,,,,,,,,,,,,,,survey_design
,,,,,,,,,,,,,,,,,,,,,,survey_research
,,,,,,,,,,,,,,,,,,,,,,survey_statistics
,,,,,,,,,,,,,,,,,,,,,,team_coordination
,,,,,,,,,,,,,,,,,,,,,,theories_of_change_development
,,,,,,,,,,,,,,,,,,,,,,ux
,,,,,,,,,,,,,,,,,,,,,,ux_design
,,,,,,,,,,,,,,,,,,,,,,web_design
,,,,,,,,,,,,,,,,,,,,,,web_dev
,,,,,,,,,,,,,,,,,,,,,,wirkungsmessung
,,,,,,,,,,,,,,,,,,,,,,working_agile
